homeTeamStats,awayTeamStats,Stat,id
6.0,16.0,Clearances,93627
12.0,3.0,Corners,93627
3.0,0.0,Offsides,93627
3.0,1.0,Yellow cards,93627
7.0,15.0,Fouls conceded,93627
4.0,3.0,Goal,93627
58.0,42.0,Possession %,93621
4.0,1.0,Shots on target,93621
13.0,5.0,Shots,93621
771.0,584.0,Touches,93621
614.0,430.0,Passes,93621
10.0,17.0,Tackles,93621
15.0,12.0,Clearances,93621
3.0,1.0,Corners,93621
1.0,1.0,Offsides,93621
1.0,1.0,Yellow cards,93621
12.0,8.0,Fouls conceded,93621
2.0,0.0,Goal,93621
33.0,67.0,Possession %,93623
2.0,6.0,Shots on target,93623
5.0,24.0,Shots,93623
476.0,842.0,Touches,93623
326.0,662.0,Passes,93623
15.0,14.0,Tackles,93623
14.0,12.0,Clearances,93623
1.0,5.0,Corners,93623
3.0,0.0,Offsides,93623
1.0,1.0,Yellow cards,93623
9.0,12.0,Fouls conceded,93623
0.0,0.0,Goal,93623
67.0,33.0,Possession %,93629
11.0,3.0,Shots on target,93629
25.0,8.0,Shots,93629
884.0,512.0,Touches,93629
701.0,337.0,Passes,93629
26.0,21.0,Tackles,93629
6.0,16.0,Clearances,93629
2.0,3.0,Corners,93629
1.0,1.0,Offsides,93629
1.0,2.0,Yellow cards,93629
6.0,13.0,Fouls conceded,93629
4.0,1.0,Goal,93629
58.2,41.8,Possession %,93630
6.0,3.0,Shots on target,93630
18.0,10.0,Shots,93630
705.0,564.0,Touches,93630
495.0,361.0,Passes,93630
21.0,17.0,Tackles,93630
19.0,29.0,Clearances,93630
7.0,3.0,Corners,93630
2.0,0.0,Offsides,93630
0.0,3.0,Yellow cards,93630
9.0,14.0,Fouls conceded,93630
1.0,1.0,Goal,93630
33.3,66.7,Possession %,93625
4.0,3.0,Shots on target,93625
16.0,18.0,Shots,93625
508.0,797.0,Touches,93625
324.0,629.0,Passes,93625
11.0,15.0,Tackles,93625
36.0,13.0,Clearances,93625
3.0,8.0,Corners,93625
2.0,0.0,Offsides,93625
1.0,0.0,Yellow cards,93625
7.0,8.0,Fouls conceded,93625
3.0,1.0,Goal,93625
50.2,49.8,Possession %,93622
6.0,2.0,Shots on target,93622
11.0,3.0,Shots,93622
677.0,663.0,Touches,93622
442.0,457.0,Passes,93622
20.0,29.0,Tackles,93622
23.0,27.0,Clearances,93622
9.0,2.0,Corners,93622
0.0,4.0,Offsides,93622
3.0,2.0,Yellow cards,93622
13.0,14.0,Fouls conceded,93622
1.0,0.0,Goal,93622
50.9,49.1,Possession %,93624
6.0,2.0,Shots on target,93624
13.0,8.0,Shots,93624
662.0,665.0,Touches,93624
468.0,468.0,Passes,93624
16.0,18.0,Tackles,93624
13.0,29.0,Clearances,93624
7.0,4.0,Corners,93624
2.0,5.0,Offsides,93624
0.0,2.0,Yellow cards,93624
10.0,12.0,Fouls conceded,93624
1.0,1.0,Goal,93624
32.3,67.7,Possession %,93626
4.0,4.0,Shots on target,93626
11.0,13.0,Shots,93626
510.0,863.0,Touches,93626
302.0,662.0,Passes,93626
16.0,21.0,Tackles,93626
19.0,17.0,Clearances,93626
9.0,5.0,Corners,93626
3.0,1.0,Offsides,93626
1.0,4.0,Yellow cards,93626
13.0,9.0,Fouls conceded,93626
1.0,1.0,Goal,93626
54.3,45.7,Possession %,93615
8.0,3.0,Shots on target,93615
30.0,9.0,Shots,93615
791.0,694.0,Touches,93615
585.0,484.0,Passes,93615
19.0,28.0,Tackles,93615
14.0,23.0,Clearances,93615
8.0,4.0,Corners,93615
5.0,3.0,Offsides,93615
5.0,3.0,Yellow cards,93615
20.0,6.0,Fouls conceded,93615
2.0,1.0,Goal,93615
72.5,27.5,Possession %,93616
1.0,2.0,Shots on target,93616
12.0,6.0,Shots,93616
895.0,440.0,Touches,93616
700.0,269.0,Passes,93616
13.0,20.0,Tackles,93616
7.0,24.0,Clearances,93616
7.0,4.0,Corners,93616
2.0,1.0,Offsides,93616
0.0,2.0,Yellow cards,93616
9.0,20.0,Fouls conceded,93616
0.0,0.0,Goal,93616
59.9,40.1,Possession %,93617
9.0,4.0,Shots on target,93617
24.0,10.0,Shots,93617
707.0,545.0,Touches,93617
518.0,343.0,Passes,93617
24.0,21.0,Tackles,93617
13.0,22.0,Clearances,93617
3.0,4.0,Corners,93617
1.0,2.0,Offsides,93617
1.0,1.0,Yellow cards,93617
1.0,0.0,Red cards,93617
9.0,8.0,Fouls conceded,93617
4.0,3.0,Goal,93617
48.6,51.4,Possession %,93612
4.0,3.0,Shots on target,93612
11.0,7.0,Shots,93612
570.0,608.0,Touches,93612
360.0,391.0,Passes,93612
14.0,24.0,Tackles,93612
30.0,29.0,Clearances,93612
9.0,8.0,Corners,93612
0.0,4.0,Offsides,93612
1.0,2.0,Yellow cards,93612
14.0,11.0,Fouls conceded,93612
2.0,1.0,Goal,93612
69.1,30.9,Possession %,93614
13.0,7.0,Shots on target,93614
33.0,18.0,Shots,93614
811.0,456.0,Touches,93614
630.0,271.0,Passes,93614
8.0,10.0,Tackles,93614
10.0,26.0,Clearances,93614
12.0,4.0,Corners,93614
3.0,0.0,Offsides,93614
2.0,2.0,Yellow cards,93614
0.0,1.0,Red cards,93614
12.0,7.0,Fouls conceded,93614
2.0,2.0,Goal,93614
58.4,41.6,Possession %,93618
5.0,3.0,Shots on target,93618
12.0,10.0,Shots,93618
769.0,615.0,Touches,93618
547.0,397.0,Passes,93618
15.0,22.0,Tackles,93618
14.0,42.0,Clearances,93618
